  1 -13.013733 0.00000  -8.665322 0.00000
  2 -13.012383 0.00000  -8.663972 0.00000
  3 -13.011033 0.00000  -8.662622 0.00000
  4 -13.009683 0.00000  -8.661272 0.00000
  5 -13.008333 0.00000  -8.659922 0.00000
  6 -13.006983 0.00000  -8.658572 0.00000
  7 -13.005633 0.00000  -8.657222 0.00000
  8 -13.004283 0.00000  -8.655872 0.00000
  9 -13.002933 0.00000  -8.654522 0.00000
 10 -13.001583 0.00000  -8.653172 0.00000
 11 -13.000233 0.00000  -8.651822 0.00000
 12 -12.998883 0.00000  -8.650472 0.00000
 13 -12.997533 0.00000  -8.649122 0.00000
 14 -12.996183 0.00000  -8.647772 0.00000
 15 -12.994833 0.00000  -8.646422 0.00000
 16 -12.993483 0.00000  -8.645072 0.00000
 17 -12.992133 0.00000  -8.643722 0.00000
 18 -12.990783 0.00000  -8.642372 0.00000
 19 -12.989433 0.00000  -8.641022 0.00000
 20 -12.988083 0.00000  -8.639672 0.00000
 21 -12.986733 0.00000  -8.638322 0.00000
 22 -12.985383 0.00000  -8.636972 0.00000
 23 -12.984033 0.00000  -8.635622 0.00000
 24 -12.982683 0.00000  -8.634272 0.00000
 25 -12.981333 0.00000  -8.632922 0.00000
 26 -12.979983 0.00005  -8.631572 0.00000
 27 -12.978633 0.00017  -8.630222 0.00000
 28 -12.977283 0.00125  -8.628872 0.00000
 29 -12.975933 0.00229  -8.627522 0.00000
 30 -12.974583 0.00502  -8.626172 0.00000
 31 -12.973233 0.00966  -8.624822 0.00378
 32 -12.971883 0.02279  -8.623472 0.04968
 33 -12.970533 0.05031  -8.622122 0.15192
 34 -12.969183 0.10155  -8.620772 0.27830
 35 -12.967833 0.19668  -8.619422 0.42375
 36 -12.966483 0.31711  -8.618072 0.53699
 37 -12.965133 0.47412  -8.616722 0.63185
 38 -12.963783 0.60330  -8.615372 0.70106
 39 -12.962433 0.68656  -8.614022 0.75846
 40 -12.961083 0.75169  -8.612672 0.80354
 41 -12.959733 0.80109  -8.611322 0.84785
 42 -12.958383 0.84087  -8.609972 0.88242
 43 -12.957033 0.88117  -8.608622 0.91305
 44 -12.955683 0.92894  -8.607272 0.93409
 45 -12.954333 0.95045  -8.605922 0.94618
 46 -12.952983 0.96041  -8.604572 0.96982
 47 -12.951633 0.97561  -8.603222 0.98606
 48 -12.950283 0.99594  -8.601872 0.98785
 49 -12.948933 0.99021  -8.600522 0.99716
 50 -12.947583 1.00000  -8.599172 0.99364
 51 -12.946233 0.99884  -8.597822 1.00000
 52 -12.944883 0.99390  -8.596472 0.99574
 53 -12.943533 0.98736  -8.595122 0.98385
 54 -12.942183 0.95975  -8.593772 0.98958
 55 -12.940833 0.95328  -8.592422 0.98518
 56 -12.939483 0.92636  -8.591072 0.96579
 57 -12.938133 0.89619  -8.589722 0.94436
 58 -12.936783 0.86081  -8.588372 0.91703
 59 -12.935433 0.80598  -8.587022 0.90246
 60 -12.934083 0.75761  -8.585672 0.86735
 61 -12.932733 0.69398  -8.584322 0.83419
 62 -12.931383 0.61297  -8.582972 0.78815
 63 -12.930033 0.52312  -8.581622 0.73183
 64 -12.928683 0.42460  -8.580272 0.67770
 65 -12.927333 0.28794  -8.578922 0.59819
 66 -12.925983 0.15534  -8.577572 0.50667
 67 -12.924633 0.04686  -8.576222 0.35986
 68 -12.923283 0.00133  -8.574872 0.22153
 69 -12.921933 0.00000  -8.573522 0.10699
 70 -12.920583 0.00000  -8.572172 0.02893
 71 -12.919233 0.00000  -8.570822 0.00471
 72 -12.917883 0.00000  -8.569472 0.00097
 73 -12.916533 0.00000  -8.568122 0.00014
 74 -12.915183 0.00000  -8.566772 0.00000
 75 -12.913833 0.00000  -8.565422 0.00000
 76 -12.912483 0.00000  -8.564072 0.00000
 77 -12.911133 0.00000  -8.562722 0.00000
 78 -12.909783 0.00000  -8.561372 0.00000
 79 -12.908433 0.00000  -8.560022 0.00000
 80 -12.907083 0.00000  -8.558672 0.00000
 81 -12.905733 0.00000  -8.557322 0.00000
 82 -12.904383 0.00000  -8.555972 0.00000
 83 -12.903033 0.00000  -8.554622 0.00000
 84 -12.901683 0.00000  -8.553272 0.00000
 85 -12.900333 0.00000  -8.551922 0.00000
 86 -12.898983 0.00000  -8.550572 0.00000
 87 -12.897633 0.00000  -8.549222 0.00000
 88 -12.896283 0.00000  -8.547872 0.00000
 89 -12.894933 0.00000  -8.546522 0.00000
 90 -12.893583 0.00000  -8.545172 0.00000
 91 -12.892233 0.00000  -8.543822 0.00000
 92 -12.890883 0.00000  -8.542472 0.00000
 93 -12.889533 0.00000  -8.541122 0.00000
 94 -12.888183 0.00000  -8.539772 0.00000
 95 -12.886833 0.00000  -8.538422 0.00000
 96 -12.885483 0.00000  -8.537072 0.00000
 97 -12.884133 0.00000  -8.535722 0.00000
 98 -12.882783 0.00000  -8.534372 0.00000
 99 -12.881433 0.00000  -8.533022 0.00000
100 -12.880083 0.00000  -8.531672 0.00000
