  1 -13.024728 0.00000  11.444095 0.00000
  2 -13.023378 0.00000  11.445445 0.00000
  3 -13.022028 0.00000  11.446795 0.00000
  4 -13.020678 0.00000  11.448145 0.00000
  5 -13.019328 0.00000  11.449495 0.00000
  6 -13.017978 0.00000  11.450845 0.00000
  7 -13.016628 0.00000  11.452195 0.00000
  8 -13.015278 0.00000  11.453545 0.00000
  9 -13.013928 0.00000  11.454895 0.00000
 10 -13.012578 0.00000  11.456245 0.00000
 11 -13.011228 0.00000  11.457595 0.00000
 12 -13.009878 0.00000  11.458945 0.00000
 13 -13.008528 0.00000  11.460295 0.00000
 14 -13.007178 0.00000  11.461645 0.00000
 15 -13.005828 0.00000  11.462995 0.00000
 16 -13.004478 0.00000  11.464345 0.00000
 17 -13.003128 0.00000  11.465695 0.00000
 18 -13.001778 0.00000  11.467045 0.00000
 19 -13.000428 0.00000  11.468395 0.00000
 20 -12.999078 0.00000  11.469745 0.00000
 21 -12.997728 0.00000  11.471095 0.00000
 22 -12.996378 0.00000  11.472445 0.00000
 23 -12.995028 0.00000  11.473795 0.00000
 24 -12.993678 0.00000  11.475145 0.00095
 25 -12.992328 0.00000  11.476495 0.01966
 26 -12.990978 0.00000  11.477845 0.05103
 27 -12.989628 0.00000  11.479195 0.09156
 28 -12.988278 0.00000  11.480545 0.15737
 29 -12.986928 0.00054  11.481895 0.22203
 30 -12.985578 0.00452  11.483245 0.28990
 31 -12.984228 0.01250  11.484595 0.35752
 32 -12.982878 0.02870  11.485945 0.43120
 33 -12.981528 0.05183  11.487295 0.51869
 34 -12.980178 0.08374  11.488645 0.60435
 35 -12.978828 0.16316  11.489995 0.68019
 36 -12.977478 0.27724  11.491345 0.74778
 37 -12.976128 0.38386  11.492695 0.81283
 38 -12.974778 0.48640  11.494045 0.85171
 39 -12.973428 0.59537  11.495395 0.89436
 40 -12.972078 0.67864  11.496745 0.92422
 41 -12.970728 0.75272  11.498095 0.94453
 42 -12.969378 0.81354  11.499445 0.95665
 43 -12.968028 0.84630  11.500795 0.97291
 44 -12.966678 0.89761  11.502145 0.98045
 45 -12.965328 0.92130  11.503495 1.00000
 46 -12.963978 0.95077  11.504845 0.98891
 47 -12.962628 0.96223  11.506195 0.99347
 48 -12.961278 0.97927  11.507545 0.97643
 49 -12.959928 0.99775  11.508895 0.98483
 50 -12.958578 1.00000  11.510245 0.98422
 51 -12.957228 0.99605  11.511595 0.96525
 52 -12.955878 0.99943  11.512945 0.95838
 53 -12.954528 0.99575  11.514295 0.92880
 54 -12.953178 0.97305  11.515645 0.91260
 55 -12.951828 0.96472  11.516995 0.88920
 56 -12.950478 0.94985  11.518345 0.83663
 57 -12.949128 0.91258  11.519695 0.79311
 58 -12.947778 0.86957  11.521045 0.74144
 59 -12.946428 0.84817  11.522395 0.65513
 60 -12.945078 0.79207  11.523745 0.57578
 61 -12.943728 0.73345  11.525095 0.49587
 62 -12.942378 0.65974  11.526445 0.40383
 63 -12.941028 0.57318  11.527795 0.33437
 64 -12.939678 0.46456  11.529145 0.26976
 65 -12.938328 0.34446  11.530495 0.20440
 66 -12.936978 0.23769  11.531845 0.14184
 67 -12.935628 0.16057  11.533195 0.08558
 68 -12.934278 0.09064  11.534545 0.04737
 69 -12.932928 0.04088  11.535895 0.02123
 70 -12.931578 0.00445  11.537245 0.00235
 71 -12.930228 0.00000  11.538595 0.00000
 72 -12.928878 0.00000  11.539945 0.00000
 73 -12.927528 0.00000  11.541295 0.00000
 74 -12.926178 0.00000  11.542645 0.00000
 75 -12.924828 0.00000  11.543995 0.00000
 76 -12.923478 0.00000  11.545345 0.00000
 77 -12.922128 0.00000  11.546695 0.00000
 78 -12.920778 0.00000  11.548045 0.00000
 79 -12.919428 0.00000  11.549395 0.00000
 80 -12.918078 0.00000  11.550745 0.00000
 81 -12.916728 0.00000  11.552095 0.00000
 82 -12.915378 0.00000  11.553445 0.00000
 83 -12.914028 0.00000  11.554795 0.00000
 84 -12.912678 0.00000  11.556145 0.00000
 85 -12.911328 0.00000  11.557495 0.00000
 86 -12.909978 0.00000  11.558845 0.00000
 87 -12.908628 0.00000  11.560195 0.00000
 88 -12.907278 0.00000  11.561545 0.00000
 89 -12.905928 0.00000  11.562895 0.00000
 90 -12.904578 0.00000  11.564245 0.00000
 91 -12.903228 0.00000  11.565595 0.00000
 92 -12.901878 0.00000  11.566945 0.00000
 93 -12.900528 0.00000  11.568295 0.00000
 94 -12.899178 0.00000  11.569645 0.00000
 95 -12.897828 0.00000  11.570995 0.00000
 96 -12.896478 0.00000  11.572345 0.00000
 97 -12.895128 0.00000  11.573695 0.00000
 98 -12.893778 0.00000  11.575045 0.00000
 99 -12.892428 0.00000  11.576395 0.00000
100 -12.891078 0.00000  11.577745 0.00000
