  1 -10.570783 0.00000   5.896079 0.00000
  2 -10.569433 0.00000   5.897429 0.00000
  3 -10.568083 0.00000   5.898779 0.00000
  4 -10.566733 0.00000   5.900129 0.00000
  5 -10.565383 0.00000   5.901479 0.00000
  6 -10.564033 0.00000   5.902829 0.00000
  7 -10.562683 0.00000   5.904179 0.00000
  8 -10.561333 0.00000   5.905529 0.00000
  9 -10.559983 0.00000   5.906879 0.00000
 10 -10.558633 0.00000   5.908229 0.00000
 11 -10.557283 0.00000   5.909579 0.00000
 12 -10.555933 0.00000   5.910929 0.00000
 13 -10.554583 0.00000   5.912279 0.00000
 14 -10.553233 0.00000   5.913629 0.00000
 15 -10.551883 0.00000   5.914979 0.00000
 16 -10.550533 0.00000   5.916329 0.00000
 17 -10.549183 0.00000   5.917679 0.00000
 18 -10.547833 0.00000   5.919029 0.00000
 19 -10.546483 0.00000   5.920379 0.00000
 20 -10.545133 0.00000   5.921729 0.00000
 21 -10.543783 0.00000   5.923079 0.00000
 22 -10.542433 0.00000   5.924429 0.00000
 23 -10.541083 0.00000   5.925779 0.00000
 24 -10.539733 0.00000   5.927129 0.00000
 25 -10.538383 0.00000   5.928479 0.00000
 26 -10.537033 0.00000   5.929829 0.00000
 27 -10.535683 0.00000   5.931179 0.00000
 28 -10.534333 0.00055   5.932529 0.00280
 29 -10.532983 0.00215   5.933879 0.03660
 30 -10.531633 0.00631   5.935229 0.10110
 31 -10.530283 0.01100   5.936579 0.18040
 32 -10.528933 0.02330   5.937929 0.30086
 33 -10.527583 0.06180   5.939279 0.41607
 34 -10.526233 0.14644   5.940629 0.52498
 35 -10.524883 0.24716   5.941979 0.61360
 36 -10.523533 0.37023   5.943329 0.69713
 37 -10.522183 0.49397   5.944679 0.75311
 38 -10.520833 0.59861   5.946029 0.80352
 39 -10.519483 0.68340   5.947379 0.84767
 40 -10.518133 0.75088   5.948729 0.88534
 41 -10.516783 0.79938   5.950079 0.91267
 42 -10.515433 0.84732   5.951429 0.93533
 43 -10.514083 0.89289   5.952779 0.95026
 44 -10.512733 0.92180   5.954129 0.97427
 45 -10.511383 0.94321   5.955479 0.98581
 46 -10.510033 0.97498   5.956829 0.99898
 47 -10.508683 0.97640   5.958179 1.00000
 48 -10.507333 0.99083   5.959529 0.99395
 49 -10.505983 0.99834   5.960879 0.99447
 50 -10.504633 0.99278   5.962229 0.99676
 51 -10.503283 1.00000   5.963579 0.98859
 52 -10.501933 0.99787   5.964929 0.97943
 53 -10.500583 0.97946   5.966279 0.96582
 54 -10.499233 0.97710   5.967629 0.94352
 55 -10.497883 0.95864   5.968979 0.92758
 56 -10.496533 0.92951   5.970329 0.89884
 57 -10.495183 0.90694   5.971679 0.87294
 58 -10.493833 0.86526   5.973029 0.83423
 59 -10.492483 0.82894   5.974379 0.77822
 60 -10.491133 0.77290   5.975729 0.73714
 61 -10.489783 0.71849   5.977079 0.66449
 62 -10.488433 0.64986   5.978429 0.58698
 63 -10.487083 0.55783   5.979779 0.47813
 64 -10.485733 0.43771   5.981129 0.36273
 65 -10.484383 0.32033   5.982479 0.25538
 66 -10.483033 0.21317   5.983829 0.14402
 67 -10.481683 0.10834   5.985179 0.07770
 68 -10.480333 0.04211   5.986529 0.03484
 69 -10.478983 0.00403   5.987879 0.00775
 70 -10.477633 0.00000   5.989229 0.00008
 71 -10.476283 0.00000   5.990579 0.00000
 72 -10.474933 0.00000   5.991929 0.00000
 73 -10.473583 0.00000   5.993279 0.00000
 74 -10.472233 0.00000   5.994629 0.00000
 75 -10.470883 0.00000   5.995979 0.00000
 76 -10.469533 0.00000   5.997329 0.00000
 77 -10.468183 0.00000   5.998679 0.00000
 78 -10.466833 0.00000   6.000029 0.00000
 79 -10.465483 0.00000   6.001379 0.00000
 80 -10.464133 0.00000   6.002729 0.00000
 81 -10.462783 0.00000   6.004079 0.00000
 82 -10.461433 0.00000   6.005429 0.00000
 83 -10.460083 0.00000   6.006779 0.00000
 84 -10.458733 0.00000   6.008129 0.00000
 85 -10.457383 0.00000   6.009479 0.00000
 86 -10.456033 0.00000   6.010829 0.00000
 87 -10.454683 0.00000   6.012179 0.00000
 88 -10.453333 0.00000   6.013529 0.00000
 89 -10.451983 0.00000   6.014879 0.00000
 90 -10.450633 0.00000   6.016229 0.00000
 91 -10.449283 0.00000   6.017579 0.00000
 92 -10.447933 0.00000   6.018929 0.00000
 93 -10.446583 0.00000   6.020279 0.00000
 94 -10.445233 0.00000   6.021629 0.00000
 95 -10.443883 0.00000   6.022979 0.00000
 96 -10.442533 0.00000   6.024329 0.00000
 97 -10.441183 0.00000   6.025679 0.00000
 98 -10.439833 0.00000   6.027029 0.00000
 99 -10.438483 0.00000   6.028379 0.00000
100 -10.437133 0.00000   6.029729 0.00000
