name,ra (J2000 hrs),dec (J2000 deg),pmra (mas/yr),pmdec (mas/yr),parallax (mas),rv (km/s),vmag (Johnson V),sptype,vsini,exptime (sec),fauexptime (sec),active,finder,comment
HD9407,1.5759072,68.948133,-377.76,113.87,48.41,-33.213,6.53,G6,,1800,5,1,https://archive.stsci.edu/cgi-bin/dss_search?v=poss2ukstu_red&r=23.638608&d=68.948133&e=J2000&h=15.0&w=15.0&f=gif&c=none&fov=NONE&v3=,"Requested by wright, but too faint for commissioning"
HD10700,1.7344676,-15.93748,-1721.05,854.16,273.96,-16.68,3.5,G8,,906,5,1,https://archive.stsci.edu/cgi-bin/dss_search?v=poss2ukstu_red&r=26.017014&d=-15.93748&e=J2000&h=15.0&w=15.0&f=gif&c=none&fov=NONE&v3=,tau Ceti
HD19373,3.1511167,49.61328,1262.41,-91.5,94.87,49.22,4.05,G0,,1504,5,1,https://archive.stsci.edu/cgi-bin/dss_search?v=poss2ukstu_red&r=47.2667505&d=49.61328&e=J2000&h=15.0&w=15.0&f=gif&c=none&fov=NONE&v3=,
HD32147,5.0136111,-5.753675,550.12,-1109.23,114.84,21.671,6.21,K3,,1800,5,1,https://archive.stsci.edu/cgi-bin/dss_search?v=poss2ukstu_red&r=75.2041665&d=-5.753675&e=J2000&h=15.0&w=15.0&f=gif&c=none&fov=NONE&v3=,
HD72673,8.5476378,-31.500853,-1113.37,761.57,81.91,14.882,6.38,K0,,1800,5,1,https://archive.stsci.edu/cgi-bin/dss_search?v=poss2ukstu_red&r=128.214567&d=-31.500853&e=J2000&h=15.0&w=15.0&f=gif&c=none&fov=NONE&v3=,
HD122064,13.958905,61.492861,-32.36,216.49,99.39,-26.543,6.52,K3,,1800,5,1,https://archive.stsci.edu/cgi-bin/dss_search?v=poss2ukstu_red&r=209.383575&d=61.492861&e=J2000&h=15.0&w=15.0&f=gif&c=none&fov=NONE&v3=,
HD185144,19.539331,69.661178,598.07,-1738.4,173.77,26.78,4.68,K0,,1800,5,1,https://archive.stsci.edu/cgi-bin/dss_search?v=poss2ukstu_red&r=293.089965&d=69.661178&e=J2000&h=15.0&w=15.0&f=gif&c=none&fov=NONE&v3=,Sigma Draconis
HD191408A,20.186649,-36.101211,456.99,-1574.64,166.25,-126.9,5.31,K3,,1800,5,1,https://archive.stsci.edu/cgi-bin/dss_search?v=poss2ukstu_red&r=302.799735&d=-36.101211&e=J2000&h=15.0&w=15.0&f=gif&c=none&fov=NONE&v3=,Binary star
HD69830,8.3066519,-12.632169,278.99,-987.59,80.04,32.2,5.95,K0,,1800,5,1,https://archive.stsci.edu/cgi-bin/dss_search?v=poss2ukstu_red&r=124.5997785&d=-12.632169&e=J2000&h=15.0&w=15.0&f=gif&c=none&fov=NONE&v3=,known planets (3 all neptune mass)
HD75732,8.8766142,28.330819,-485.8,-234.05,81.03,27.58,5.95,G8,,1800,5,1,https://archive.stsci.edu/cgi-bin/dss_search?v=poss2ukstu_red&r=133.149213&d=28.330819&e=J2000&h=15.0&w=15.0&f=gif&c=none&fov=NONE&v3=,"known planet (55 Cnc), twin to the south west (but should be off field)"
HD217107,22.970984,-2.3953833,-6.35,-15.8,50.36,-13.4,6.18,G8,,1800,5,1,https://archive.stsci.edu/cgi-bin/dss_search?v=poss2ukstu_red&r=344.56476&d=-2.3953833&e=J2000&h=15.0&w=15.0&f=gif&c=none&fov=NONE&v3=,known planet
